time,battery_charge_level,battery_charge_rate,battery_discharge_rate,battery_max_discharge,consumption,grid_carbon,grid_power,solar_power,total_carbon
279,9.14,0.00,0.00,inf,50.00,522.54,-5739.00,5789.00,-2998847.94
280,9.14,0.00,0.00,inf,50.00,522.54,-5092.33,5142.33,-2660939.76
281,9.14,0.00,0.00,inf,50.00,522.54,-6749.67,6799.67,-3526960.09
282,9.14,0.00,0.00,inf,50.00,522.54,-5332.67,5382.67,-2786523.16
283,9.14,0.00,0.00,inf,50.00,522.54,-5440.33,5490.33,-2842783.13
284,9.14,0.00,0.00,inf,50.00,522.54,-4637.33,4687.33,-2423184.79
285,9.14,0.00,0.00,inf,50.00,522.54,-5972.67,6022.67,-3120947.74
286,9.14,0.00,0.00,inf,50.00,540.68,-6783.00,6833.00,-3667446.72
287,9.14,0.00,0.00,inf,50.00,540.68,-5190.00,5240.00,-2806140.13
288,9.14,0.00,0.00,inf,50.00,540.68,-2718.33,2768.33,-1469754.19
289,9.14,0.00,0.00,inf,50.00,540.68,-5150.67,5200.67,-2784873.30
290,9.14,0.00,0.00,inf,50.00,540.68,-2847.67,2897.67,-1539682.41
291,9.14,0.00,0.00,inf,50.00,540.68,-1904.33,1954.33,-1029638.96
292,9.14,0.00,0.00,inf,50.00,540.68,-6291.33,6341.33,-3401611.35
293,9.14,0.00,0.00,inf,50.00,540.68,-5187.00,5237.00,-2804518.08
294,9.14,0.00,0.00,inf,50.00,540.68,-5123.33,5173.33,-2770094.65
295,9.14,0.00,0.00,inf,50.00,540.68,-2755.33,2805.33,-1489759.43
296,9.14,0.00,0.00,inf,50.00,540.68,-5010.67,5060.67,-2709177.80
297,9.14,0.00,0.00,inf,50.00,540.68,-6589.00,6639.00,-3562554.39
298,9.14,0.00,0.00,inf,50.00,540.68,-4369.00,4419.00,-2362240.12
299,9.14,0.00,0.00,inf,50.00,540.68,-4344.00,4394.00,-2348723.06
300,9.14,0.00,0.00,inf,50.00,540.68,-5222.33,5272.33,-2823622.18
301,9.14,0.00,0.00,inf,50.00,542.50,-4861.33,4911.33,-2637256.19
302,9.14,0.00,0.00,inf,50.00,542.50,-4662.67,4712.67,-2529480.23
303,9.14,0.00,0.00,inf,50.00,542.50,-5984.67,6034.67,-3246660.57
304,9.14,0.00,0.00,inf,50.00,542.50,-2665.00,2715.00,-1445753.10
305,9.14,0.00,0.00,inf,50.00,542.50,-6813.33,6863.33,-3696209.31
306,9.14,0.00,0.00,inf,50.00,542.50,-6583.00,6633.00,-3571254.29
307,9.14,0.00,0.00,inf,50.00,542.50,-4677.00,4727.00,-2537256.01
308,9.14,0.00,0.00,inf,50.00,542.50,-3490.00,3540.00,-1893312.70
309,9.14,0.00,0.00,inf,50.00,542.50,-5566.67,5616.67,-3019897.04
310,9.14,0.00,0.00,inf,50.00,542.50,-2634.67,2684.67,-1429297.38
311,9.14,0.00,0.00,inf,50.00,542.50,-5263.00,5313.00,-2855158.95
312,9.14,0.00,0.00,inf,50.00,542.50,-6623.33,6673.33,-3593134.98
313,9.14,0.00,0.00,inf,50.00,542.50,-6336.00,6386.00,-3437257.66
314,9.14,0.00,0.00,inf,50.00,542.50,-2902.33,2952.33,-1574505.60
315,9.14,0.00,0.00,inf,50.00,542.50,-4384.33,4434.33,-2378485.38
316,9.14,0.00,0.00,inf,50.00,552.02,-1931.67,1981.67,-1066322.33
317,9.14,0.00,0.00,inf,50.00,552.02,-6495.00,6545.00,-3585382.33
318,9.14,0.00,0.00,inf,50.00,552.02,-6340.33,6390.33,-3500002.94
319,9.14,0.00,0.00,inf,50.00,552.02,-3421.33,3471.33,-1888650.98
320,9.14,0.00,0.00,inf,50.00,552.02,-2099.67,2149.67,-1159062.01
321,9.14,0.00,0.00,inf,50.00,552.02,-1653.33,1703.33,-912676.23
322,9.14,0.00,0.00,inf,50.00,552.02,-3677.33,3727.33,-2029968.59
323,9.14,0.00,0.00,inf,50.00,552.02,-3400.67,3450.67,-1877242.52
324,9.14,0.00,0.00,inf,50.00,552.02,-6514.00,6564.00,-3595870.75
325,9.14,0.00,0.00,inf,50.00,552.02,-4991.33,5041.33,-2755325.38
326,9.14,0.00,0.00,inf,50.00,552.02,-5431.00,5481.00,-2998031.02
327,9.14,0.00,0.00,inf,50.00,552.02,-5567.00,5617.00,-3073106.00
328,9.14,0.00,0.00,inf,50.00,552.02,-2478.00,2528.00,-1367910.30
329,9.14,0.00,0.00,inf,50.00,552.02,-1944.67,1994.67,-1073498.62
330,9.14,0.00,0.00,inf,50.00,552.02,-2671.33,2721.33,-1474634.54
331,9.14,0.00,0.00,inf,50.00,516.19,-1945.33,1995.33,-1004157.95
332,9.14,0.00,0.00,inf,50.00,516.19,-2602.67,2652.67,-1343465.61
333,9.14,0.00,0.00,inf,50.00,516.19,-982.33,1032.33,-507068.79
334,9.14,0.00,0.00,inf,50.00,516.19,-2354.33,2404.33,-1215278.89
335,9.14,0.00,0.00,inf,50.00,516.19,-1082.67,1132.67,-558859.67
336,9.14,0.00,0.00,inf,50.00,516.19,-2103.33,2153.33,-1085715.67
337,9.14,0.00,0.00,inf,50.00,516.19,-5429.00,5479.00,-2802385.29
338,9.14,0.00,0.00,inf,50.00,516.19,-2598.00,2648.00,-1341056.73
339,9.14,0.00,0.00,inf,50.00,516.19,-4264.67,4314.67,-2201370.26
