0,battery_charge_level,battery_charge_rate,battery_discharge_rate,battery_max_discharge,consumption,grid_carbon,grid_power,solar_power,total_carbon
195,36000.00,0.00,0.00,inf,0.00,520.27,-2069.33,2069.33,-1076612.98
196,36000.00,0.00,0.00,inf,0.00,520.27,-1122.13,1122.13,-583812.81
197,36000.00,0.00,0.00,inf,0.00,521.63,-2024.27,2024.27,-1055920.70
198,36000.00,0.00,0.00,inf,0.00,521.63,-2655.60,2655.60,-1385243.88
199,36000.00,0.00,0.00,inf,0.00,521.63,-1767.60,1767.60,-922035.35
200,36000.00,0.00,0.00,inf,0.00,521.63,-1757.60,1757.60,-916819.04
201,36000.00,0.00,0.00,inf,0.00,521.63,-2108.93,2108.93,-1100085.48
202,36000.00,0.00,0.00,inf,0.00,521.63,-1628.00,1628.00,-849215.64
203,36000.00,0.00,0.00,inf,0.00,521.63,-1100.00,1100.00,-573794.35
204,36000.00,0.00,0.00,inf,0.00,521.63,-682.00,682.00,-355752.50
205,36000.00,0.00,0.00,inf,0.00,521.63,-796.00,796.00,-415218.46
206,36000.00,0.00,0.00,inf,0.00,521.63,-578.00,578.00,-301502.85
207,36000.00,0.00,0.00,inf,0.00,521.63,-218.00,218.00,-113715.61
208,36000.00,0.00,0.00,inf,0.00,521.63,-735.33,735.33,-383572.83
209,36000.00,0.00,0.00,inf,0.00,521.63,-306.67,306.67,-159966.91
210,36000.00,0.00,0.00,inf,0.00,521.63,-435.33,435.33,-227083.46
211,36000.00,0.00,0.00,inf,0.00,521.63,-639.33,639.33,-333496.23
212,36000.00,0.00,0.00,inf,0.00,540.23,-828.00,828.00,-447309.21
213,36000.00,0.00,0.00,inf,0.00,540.23,-500.00,500.00,-270114.26
214,36000.00,0.00,0.00,inf,0.00,540.23,-682.00,682.00,-368435.85
215,36000.00,0.00,0.00,inf,0.00,540.23,-796.00,796.00,-430021.90
216,36000.00,0.00,0.00,inf,0.00,540.23,-578.00,578.00,-312252.08
217,36000.00,0.00,0.00,inf,0.00,540.23,-218.00,218.00,-117769.82
218,36000.00,0.00,0.00,inf,0.00,540.23,-735.33,735.33,-397248.03
219,36000.00,0.00,0.00,inf,0.00,540.23,-306.67,306.67,-165670.08
220,36000.00,0.00,0.00,inf,0.00,540.23,-435.33,435.33,-235179.48
221,36000.00,0.00,0.00,inf,0.00,540.23,-239.33,239.33,-129294.69
222,36000.00,0.00,0.00,inf,0.00,540.23,-282.00,282.00,-152344.44
223,36000.00,0.00,0.00,inf,0.00,540.23,-396.00,396.00,-213930.49
224,36000.00,0.00,0.00,inf,0.00,540.23,-578.00,578.00,-312252.08
225,36000.00,0.00,0.00,inf,0.00,540.23,-218.00,218.00,-117769.82
226,36000.00,0.00,0.00,inf,0.00,540.23,-735.33,735.33,-397248.03
227,36000.00,0.00,0.00,inf,0.00,554.74,-652.67,652.67,-362062.57
228,36000.00,0.00,0.00,inf,0.00,554.74,-590.00,590.00,-327298.65
229,36000.00,0.00,0.00,inf,0.00,554.74,-340.67,340.67,-188982.61
230,36000.00,0.00,0.00,inf,0.00,554.74,-240.00,240.00,-133138.43
231,36000.00,0.00,0.00,inf,0.00,554.74,-994.00,994.00,-551415.01
232,36000.00,0.00,0.00,inf,0.00,554.74,-828.00,828.00,-459327.59
233,36000.00,0.00,0.00,inf,0.00,554.74,-500.00,500.00,-277371.73
234,36000.00,0.00,0.00,inf,0.00,554.74,-682.00,682.00,-378335.05
235,36000.00,0.00,0.00,inf,0.00,554.74,-796.00,796.00,-441575.80
236,36000.00,0.00,0.00,inf,0.00,554.74,-578.00,578.00,-320641.72
237,36000.00,0.00,0.00,inf,0.00,554.74,-218.00,218.00,-120934.08
238,36000.00,0.00,0.00,inf,0.00,554.74,-735.33,735.33,-407921.36
239,36000.00,0.00,0.00,inf,0.00,554.74,-306.67,306.67,-170121.33
240,36000.00,0.00,0.00,inf,0.00,554.74,-435.33,435.33,-241498.32
241,36000.00,0.00,0.00,inf,0.00,554.74,-239.33,239.33,-132768.60
242,36000.00,0.00,0.00,inf,0.00,549.75,-682.00,682.00,-374932.20
243,36000.00,0.00,0.00,inf,0.00,549.75,-796.00,796.00,-437604.15
244,36000.00,0.00,0.00,inf,0.00,549.75,-578.00,578.00,-317757.78
245,36000.00,0.00,0.00,inf,0.00,549.75,-218.00,218.00,-119846.36
246,36000.00,0.00,0.00,inf,0.00,549.75,-735.33,735.33,-404252.41
247,36000.00,0.00,0.00,inf,0.00,549.75,-652.67,652.67,-358806.08
248,36000.00,0.00,0.00,inf,0.00,549.75,-590.00,590.00,-324354.83
249,36000.00,0.00,0.00,inf,0.00,549.75,-740.67,740.67,-407184.43
250,36000.00,0.00,0.00,inf,0.00,549.75,-640.00,640.00,-351842.53
251,36000.00,0.00,0.00,inf,0.00,549.75,-994.00,994.00,-546455.43
252,36000.00,0.00,0.00,inf,0.00,549.75,-320.00,320.00,-175921.26
253,36000.00,0.00,0.00,inf,0.00,549.75,-497.00,497.00,-273227.71
254,36000.00,0.00,0.00,inf,0.00,549.75,-414.00,414.00,-227598.14
255,36000.00,0.00,0.00,inf,0.00,549.75,-250.00,250.00,-137438.49
256,36000.00,0.00,0.00,inf,0.00,549.75,-341.00,341.00,-187466.10
257,36000.00,0.00,0.00,inf,0.00,526.62,-398.00,398.00,-209595.06
258,36000.00,0.00,0.00,inf,0.00,526.62,-289.00,289.00,-152193.39
