location,time,rating
australiacentral,2022-10-13 03:15:00,846.85695479
australiacentral,2022-10-13 03:30:00,869.99016566
australiacentral,2022-10-13 03:45:00,861.37191063
australiacentral,2022-10-13 04:00:00,830.5276294700001
australiacentral,2022-10-13 04:15:00,861.37191063
australiacentral,2022-10-13 04:30:00,892.21619179
australiacentral,2022-10-13 04:45:00,861.37191063
australiacentral,2022-10-13 05:00:00,812.83752704
australiacentral,2022-10-13 05:15:00,816.91985837
australiacentral,2022-10-13 05:30:00,817.37345074
australiacentral,2022-10-13 05:45:00,806.4872338600001
australiacentral,2022-10-13 06:00:00,806.4872338600001
australiacentral,2022-10-13 06:15:00,806.4872338600001
australiacentral,2022-10-13 06:30:00,806.4872338600001
australiacentral,2022-10-13 06:45:00,821.0021897
australiacentral,2022-10-13 07:00:00,814.19830415
australiacentral,2022-10-13 07:15:00,802.8584949000001
australiacentral,2022-10-13 07:30:00,802.4049025300001
australiacentral,2022-10-13 07:45:00,801.95131016
australiacentral,2022-10-13 08:00:00,795.14742461
australiacentral,2022-10-13 08:15:00,777.91091455
australiacentral,2022-10-13 08:30:00,777.45732218
australiacentral,2022-10-13 08:45:00,777.0037298100001
australiacentral,2022-10-13 09:00:00,777.0037298100001
australiacentral,2022-10-13 09:15:00,776.5501374400001
australiacentral,2022-10-13 09:30:00,776.09654507
australiacentral,2022-10-13 09:45:00,776.09654507
australiacentral,2022-10-13 10:00:00,777.0037298100001
australiacentral,2022-10-13 10:15:00,795.60101698
australiacentral,2022-10-13 10:30:00,796.50820172
australiacentral,2022-10-13 10:45:00,796.50820172
australiacentral,2022-10-13 11:00:00,803.31208727
australiacentral,2022-10-13 11:15:00,805.58004912
australiacentral,2022-10-13 11:30:00,805.58004912
australiacentral,2022-10-13 11:45:00,812.38393467
australiacentral,2022-10-13 12:00:00,806.4872338600001
australiacentral,2022-10-13 12:15:00,834.15636843
australiacentral,2022-10-13 12:30:00,844.58899294
australiacentral,2022-10-13 12:45:00,808.30160334
australiacentral,2022-10-13 13:00:00,674.49185419
australiacentral,2022-10-13 13:15:00,760.22081212
australiacentral,2022-10-13 13:30:00,775.6429527
australiacentral,2022-10-13 13:45:00,680.388555
australiacentral,2022-10-13 14:00:00,599.64911314
australiacentral,2022-10-13 14:15:00,565.17609302
australiacentral,2022-10-13 14:30:00,543.40365926
australiacentral,2022-10-13 14:45:00,542.0428821500001
australiacentral,2022-10-13 15:00:00,571.07279383
australiacentral,2022-10-13 15:15:00,571.07279383
australiacentral,2022-10-13 15:30:00,571.07279383
australiacentral,2022-10-13 15:45:00,573.79434805
australiacentral,2022-10-13 16:00:00,573.79434805
australiacentral,2022-10-13 16:15:00,514.82733995
australiacentral,2022-10-13 16:30:00,514.82733995
australiacentral,2022-10-13 16:45:00,501.67316122
australiacentral,2022-10-13 17:00:00,501.67316122
australiacentral,2022-10-13 17:15:00,501.67316122
australiacentral,2022-10-13 17:30:00,501.67316122
australiacentral,2022-10-13 17:45:00,501.67316122
australiacentral,2022-10-13 18:00:00,521.17763313
australiacentral,2022-10-13 18:15:00,521.17763313
australiacentral,2022-10-13 18:30:00,521.17763313
australiacentral,2022-10-13 18:45:00,524.8063720900001
australiacentral,2022-10-13 19:00:00,521.17763313
australiacentral,2022-10-13 19:15:00,596.47396655
australiacentral,2022-10-13 19:30:00,596.47396655
australiacentral,2022-10-13 19:45:00,701.2538040200001
australiacentral,2022-10-13 20:00:00,822.81655918
australiacentral,2022-10-13 20:15:00,859.10394878
