0,battery_charge_level,battery_charge_rate,battery_discharge_rate,battery_max_discharge,consumption,grid_carbon,grid_power,solar_power,total_carbon
67,0.24,10.00,0.00,inf,500.00,545.67,-1671.00,2181.00,-911817.28
68,0.25,10.00,0.00,inf,500.00,545.67,-1128.67,1638.67,-615881.37
69,0.25,10.00,0.00,inf,500.00,545.67,-7.33,517.33,-4001.59
70,0.24,10.00,24.67,inf,500.00,545.67,10.00,475.33,5456.72
71,0.25,10.00,0.00,inf,500.00,545.67,-809.67,1319.67,-441812.12
72,0.25,10.00,0.00,inf,500.00,545.67,-3.67,513.67,-2000.80
73,0.25,10.00,0.00,inf,500.00,545.67,-1821.33,2331.33,-993849.91
74,0.26,10.00,0.00,inf,500.00,545.67,-1086.33,1596.33,-592781.27
75,0.26,10.00,0.00,inf,500.00,545.67,-988.00,1498.00,-539123.56
76,0.26,10.00,0.00,inf,500.00,549.75,-325.33,835.33,-178853.29
77,0.26,10.00,0.00,inf,500.00,549.75,-865.33,1375.33,-475720.42
78,0.27,10.00,0.00,inf,500.00,549.75,-360.67,870.67,-198277.93
79,0.27,10.00,0.00,inf,500.00,549.75,-456.00,966.00,-250687.80
80,0.27,10.00,0.00,inf,500.00,549.75,-1042.67,1552.67,-573210.12
81,0.27,10.00,0.00,inf,500.00,549.75,-1211.00,1721.00,-665752.04
82,0.28,10.00,0.00,inf,500.00,549.75,-1389.00,1899.00,-763608.24
83,0.28,10.00,0.00,inf,500.00,549.75,-574.67,1084.67,-315925.27
84,0.28,10.00,0.00,inf,500.00,549.75,-1802.33,2312.33,-990839.87
85,0.29,10.00,0.00,inf,500.00,549.75,-1202.00,1712.00,-660804.25
86,0.29,10.00,0.00,inf,500.00,549.75,-1793.00,2303.00,-985708.84
87,0.29,10.00,0.00,inf,500.00,549.75,-1197.67,1707.67,-658421.98
88,0.29,10.00,0.00,inf,500.00,549.75,-754.67,1264.67,-414880.98
89,0.30,10.00,0.00,inf,500.00,549.75,-1141.33,1651.33,-627452.51
90,0.30,10.00,0.00,inf,500.00,549.75,-1145.33,1655.33,-629651.53
91,0.30,10.00,0.00,inf,500.00,536.60,-1437.00,1947.00,-771093.87
92,0.30,10.00,0.00,inf,500.00,536.60,-1902.67,2412.67,-1020970.50
93,0.30,10.00,0.00,inf,500.00,536.60,-1833.33,2343.33,-983766.25
94,0.30,10.00,0.00,inf,500.00,536.60,-944.67,1454.67,-506907.92
95,0.30,10.00,0.00,inf,500.00,536.60,-1759.33,2269.33,-944057.87
96,0.30,10.00,0.00,inf,500.00,536.60,-419.67,929.67,-225193.04
97,0.30,10.00,0.00,inf,500.00,536.60,-825.67,1335.67,-443052.55
98,0.30,10.00,0.00,inf,500.00,536.60,-832.33,1342.33,-446629.88
99,0.30,10.00,0.00,inf,500.00,536.60,-766.00,1276.00,-411035.43
100,0.30,10.00,0.00,inf,500.00,536.60,-1379.00,1889.00,-739971.09
