0,battery_charge_level,battery_charge_rate,battery_discharge_rate,battery_max_discharge,consumption,grid_carbon,grid_power,solar_power,total_carbon
80,0.00,5.00,0.00,inf,500.00,549.75,-116.07,621.07,-63808.11
81,0.00,5.00,0.00,inf,500.00,549.75,-183.40,688.40,-100824.87
82,0.01,5.00,0.00,inf,500.00,549.75,-254.60,759.60,-139967.36
83,0.00,5.00,20.00,inf,500.00,549.75,51.13,433.87,28110.75
84,0.00,5.00,0.00,inf,500.00,549.75,-419.93,924.93,-230860.01
85,0.00,5.00,0.00,inf,500.00,549.75,-179.80,684.80,-98845.76
86,0.01,5.00,0.00,inf,500.00,549.75,-416.20,921.20,-228807.60
87,0.01,5.00,0.00,inf,500.00,549.75,-178.07,683.07,-97892.85
88,0.01,5.00,0.00,inf,500.00,549.75,-0.87,505.87,-476.45
89,0.01,5.00,0.00,inf,500.00,549.75,-155.53,660.53,-85505.06
90,0.01,5.00,0.00,inf,500.00,549.75,-157.13,662.13,-86384.67
91,0.01,5.00,0.00,inf,500.00,536.60,-273.80,778.80,-146921.02
92,0.01,5.00,0.00,inf,500.00,536.60,-460.07,965.07,-246871.67
93,0.02,5.00,0.00,inf,500.00,536.60,-432.33,937.33,-231989.97
94,0.02,5.00,0.00,inf,500.00,536.60,-76.87,581.87,-41246.64
95,0.02,5.00,0.00,inf,500.00,536.60,-402.73,907.73,-216106.62
96,0.00,5.00,65.00,inf,500.00,536.60,68.13,371.87,36560.33
97,0.00,5.00,0.00,inf,500.00,536.60,-29.27,534.27,-15704.49
98,0.00,5.00,0.00,inf,500.00,536.60,-31.93,536.93,-17135.42
99,0.01,5.00,0.00,inf,500.00,536.60,-5.40,510.40,-2897.64
100,0.01,5.00,0.00,inf,500.00,536.60,-250.60,755.60,-134471.90
101,0.01,5.00,0.00,inf,500.00,536.60,-248.47,753.47,-133327.16
102,0.01,5.00,0.00,inf,500.00,536.60,-248.47,753.47,-133327.16
103,0.00,5.00,35.00,inf,500.00,536.60,77.73,392.27,41711.69
104,0.00,5.00,5.00,inf,500.00,536.60,149.20,350.80,80060.69
105,0.00,5.00,0.00,inf,500.00,536.60,-227.27,732.27,-121951.24
106,0.00,5.00,0.00,inf,500.00,522.08,-161.67,666.67,-84403.71
107,0.01,5.00,0.00,inf,500.00,522.08,-176.47,681.47,-92130.57
108,0.01,5.00,0.00,inf,500.00,522.08,-259.67,764.67,-135568.02
109,0.01,5.00,0.00,inf,500.00,522.08,-84.60,589.60,-44168.38
110,0.01,5.00,0.00,inf,500.00,522.08,-7.00,512.00,-3654.59
111,0.01,5.00,0.00,inf,500.00,522.08,-77.80,582.80,-40618.20
112,0.01,5.00,0.00,inf,500.00,522.08,-51.27,556.27,-26765.55
113,0.01,5.00,0.00,inf,500.00,522.08,-705.13,1210.13,-368139.41
114,0.02,5.00,0.00,inf,500.00,522.08,-2.20,507.20,-1148.59
115,0.02,5.00,0.00,inf,500.00,522.08,-258.20,763.20,-134802.30
116,0.02,5.00,0.00,inf,500.00,522.08,-297.00,802.00,-155059.19
117,0.02,5.00,0.00,inf,500.00,522.08,-287.00,792.00,-149838.34
118,0.02,5.00,0.00,inf,500.00,522.08,-720.87,1225.87,-376353.54
119,0.02,5.00,0.00,inf,500.00,522.08,-227.53,732.53,-118791.70
120,0.02,5.00,0.00,inf,500.00,522.08,-240.73,745.73,-125683.22
121,0.02,5.00,0.00,inf,500.00,513.01,-515.93,1020.93,-264680.49
122,0.03,5.00,0.00,inf,500.00,513.01,-174.33,679.33,-89435.26
123,0.03,5.00,0.00,inf,500.00,513.01,-319.67,824.67,-163993.15
124,0.03,5.00,0.00,inf,500.00,513.01,-174.87,679.87,-89708.87
